26,_40A0Z16DX24818,010,230000500002        ,PALTA ZUTANO - PRE PROCESADO,2014-02-25 16:53:09.253,KGR ,030303      ,006            ,005,4213.06,360.5,3852.56,206.0,0006,003,ZUTANO TOPA TOPA
27,_40A0Z16DX24818,011,230000500002        ,PALTA ZUTANO - PRE PROCESADO,2014-02-25 16:53:09.257,KGR ,030304      ,006            ,005,9080.58,777.0,8303.58,444.0,0006,003,ZUTANO TOPA TOPA
28,_40C0N7O2X24818,001,210000100001        ,PALTA HASS - NACIONAL,2014-02-27 10:51:02.773,KGR ,020302      ,006            ,006,518.96,38.96,480.0,1.0,0006,002,HASS TOPATOPA
29,_40C0U5IOA24818,001,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.490,KGR ,020103      ,005            ,005,1078.25,92.75,985.5,53.0,0006,001,ETTINGER TOPATOPA
30,_40C0U5IOA24818,002,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.493,KGR ,020202      ,006            ,005,2217.54,190.75,2026.79,109.0,0006,001,
31,_40C0U5IOA24818,003,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.497,KGR ,020203      ,006            ,005,956.18,82.25,873.93,47.0,0006,001,ETTINGER TOPATOPA
32,_40C0U5IOA24818,004,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.497,KGR ,020303      ,006            ,005,1220.66,105.0,1115.66,60.0,0006,001,ETTINGER TOPATOPA
33,_40C0U5IOA24818,005,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.500,KGR ,020304      ,006            ,005,793.43,68.25,725.18,39.0,0006,001,ETTINGER TOPATOPA
34,_40C0U5IOA24818,006,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.500,KGR ,020401      ,006            ,005,1098.59,94.5,1004.09,54.0,0006,001,ETTINGER TOPATOPA
35,_40C0U5IOA24818,007,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.503,KGR ,020402      ,006            ,005,2176.84,187.25,1989.59,107.0,0006,001,ETTINGER TOPATOPA
36,_40C0U5IOA24818,008,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.503,KGR ,020403      ,006            ,005,1993.74,171.5,1822.24,98.0,0006,001,ETTINGER TOPATOPA
37,_40C0U5IOA24818,009,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.507,KGR ,020503      ,006            ,005,1281.69,110.25,1171.44,63.0,0006,001,ETTINGER TOPATOPA
38,_40C0U5IOA24818,010,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.507,KGR ,030102      ,006            ,005,1953.05,168.0,1785.05,96.0,0006,001,ETTINGER TOPATOPA
39,_40C0U5IOA24818,011,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.510,KGR ,030103      ,006            ,005,3438.19,295.75,3142.44,169.0,0006,001,ETTINGER TOPATOPA
40,_40C0U5IOA24818,012,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-27 14:11:35.510,KGR ,030104      ,006            ,005,1993.74,171.5,1822.24,98.0,0006,001,ETTINGER TOPATOPA
41,_40C0U5IOA24818,013,230000500002        ,PALTA ZUTANO - PRE PROCESADO,2014-02-27 14:11:35.513,KGR ,020302      ,006            ,005,1118.94,96.25,1022.69,55.0,0006,003,ZUTANO TOPA TOPA
42,_40C0U5IOA24818,014,230000500002        ,PALTA ZUTANO - PRE PROCESADO,2014-02-27 14:11:35.517,KGR ,020303      ,006            ,005,386.54,33.25,353.29,19.0,0006,003,ZUTANO TOPA TOPA
43,_40C0U5IOA24818,015,230000500002        ,PALTA ZUTANO - PRE PROCESADO,2014-02-27 14:11:35.520,KGR ,030201      ,006            ,005,1851.33,159.25,1692.08,91.0,0006,003,ZUTANO TOPA TOPA
44,_40C0U5IOA24818,016,230000500002        ,PALTA ZUTANO - PRE PROCESADO,2014-02-27 14:11:35.520,KGR ,030303      ,006            ,005,1118.94,96.25,1022.69,55.0,0006,003,ZUTANO TOPA TOPA
45,_40C0U5IOA24818,017,230000500002        ,PALTA ZUTANO - PRE PROCESADO,2014-02-27 14:11:35.527,KGR ,030604      ,006            ,005,2502.35,215.25,2287.1,123.0,0006,003,ZUTANO TOPA TOPA
46,_40D0WITLM24818,001,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-28 15:30:23.600,KGR ,030101      ,006            ,005,5348.65,453.25,4895.4,259.0,0006,001,ETTINGER TOPATOPA
47,_40D0WITLM24818,002,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-28 15:30:23.603,KGR ,030102      ,006            ,005,1404.23,119.0,1285.23,68.0,0006,001,ETTINGER TOPATOPA
48,_40D0WITLM24818,003,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-28 15:30:23.607,KGR ,030103      ,006            ,005,351.76,29.75,322.01,17.0,0006,001,ETTINGER TOPATOPA
49,_40D0WITLM24818,004,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-28 15:30:23.607,KGR ,030104      ,006            ,005,61.95,5.25,56.7,3.0,0006,001,ETTINGER TOPATOPA
50,_40D0WITLM24818,005,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-28 15:30:23.610,KGR ,030201      ,006            ,005,1652.1,140.0,1512.1,80.0,0006,001,ETTINGER TOPATOPA
51,_40D0WITLM24818,006,230000500003        ,PALTA ETTINGER - PRE PROCESADO,2014-02-28 15:30:23.620,KGR ,030202      ,006            ,005,1982.52,168.0,1814.52,96.0,0006,001,ETTINGER TOPATOPA
